"state","county","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"California","Riverside",5.31880153041979,5.32378799296659,5.3327787835788,5.38769892903613,5.37514642717688,5.36821630033068,5.37592101385205,5.40125132262962,5.50698919851139,5.55802839978154,5.58777261351448,5.71217745586238,5.73681838666066,5.83985453270823,5.91049231454667,5.92043046726887
"California","Sacramento",5.72609997696383,5.78490939546216,5.74027519523987,5.80469504494465,5.79844790980306,5.81740223257189,5.86133550730008,5.81977240398293,5.92774422735346,5.95455184040461,6.02741326004809,6.02350603070175,6.08247978436658,6.12830889670271,6.21774675972084,6.22362076011443
"California","San Bernardino",4.97693092021412,4.98061139526585,5.10070047296893,5.14980002423949,5.13611325001481,5.15840365682138,5.22068673764366,5.2313136544105,5.30598115991374,5.34217759578168,5.35403726708075,5.44058582048153,5.5237339979608,5.51334544053712,5.66276672795142,5.61930426261636
"California","San Diego",5.95634820754378,5.98891139414329,6.04143392490985,6.0682191685024,6.10857283222795,6.07443061751585,6.03756141711921,6.1296315734229,6.14298453201633,6.24817842848835,6.29236997392617,6.28759436849622,6.4077812198128,6.39549624687239,6.51728407455744,6.59428113533803
"California","San Francisco",7.08988426273861,7.11776859504132,7.07596829669508,7.13051251489869,7.14828518571225,7.14718369657515,6.99414960300878,7.05607987963343,7.25324419976406,7.31066223472258,7.37237044638276,7.40894409937888,7.47846001485516,7.56408952187182,7.56378450687097,7.59954476479514
"California","San Joaquin",5.01360544217687,5.0016814429838,5.07686274509804,5.01167315175097,5.05265716137395,5.09493186342061,5.18014411529223,5.22090188909202,5.16502094554159,5.20688140556369,5.24676280164803,5.22963703915404,5.34419702108833,5.3508698677801,5.41375358166189,5.31629448709002
"California","San Luis Obispo",6.26001669449082,6.2908947575877,6.29461414790997,6.26677067082683,6.3736984188199,6.31794095382286,6.33980582524272,6.54442190669371,6.54913758523867,6.47044823482745,6.70399022801303,6.74154589371981,6.74919484702093,6.7288333983613,6.90970149253731,6.8509400179051
"California","San Mateo",6.4399199885698,6.53575069171399,6.50143760782059,6.64187127705942,6.59491671453188,6.47950138504155,6.56126900198282,6.62584459459459,6.71134713632697,6.82639845687517,6.79846073571615,6.75106191273008,6.94964401294498,7.09721677773422,7.13222724987431,7.22960921031296
"California","Santa Barbara",5.85919395465995,5.81278871869682,5.75105485232068,5.99235134468295,5.8323768531803,5.95849848449522,5.97527047913447,5.85573217726397,6.10007304601899,6.16168380770151,6.29478404531508,6.22902223284724,6.18207348467119,6.24971751412429,6.30597014925373,6.35477582846004
"California","Santa Clara",6.26383339387335,6.30762272343505,6.35431070141228,6.41679957469431,6.41316632682785,6.47809952206916,6.41060777043366,6.41495784607017,6.47368146486515,6.57497627333122,6.64587451878056,6.66806636624334,6.8063861109701,6.92601613639823,6.95538849596914,7.03107664777811
