"","Year","GeoFIPS","american_indian_alaska_native","asian","black","female","hawaiian_other","hisp","male","med_income","not_cit","other_race","two_more","white","percent_manuf","County.Name","Deaths","Population","Crude.Rate","unemployment_rate"
"3981",2012,6019,0.0112227620147801,0.0984201836701322,0.0522684474546231,0.500685202474958,0.00137567979575797,NA,0.499314797525042,41627,0.771257365003508,0.239429472673661,0.0407502940726557,0.55653316031839,0.0445667511233939,"Fresno County, CA",86,947895,"9.1",15.4
"3982",2013,6019,0.0114501419490993,0.0997527405806932,0.0511602977999983,0.500275314256044,0.0016476982472008,NA,0.499724685743956,43925,0.782343667562747,0.17875432337596,0.03873765796548,0.618497140081568,0.0433967503355969,"Fresno County, CA",98,955272,"10.3",13.4
"3983",2014,6019,0.00875075312586053,0.0995451223324851,0.0516380358063468,0.500907891930839,0.00254768761892142,0.519445657957668,0.499092108069161,43423,0.777492976001424,0.194757829920888,0.0375734750624758,0.605187096133022,0.0424875020168096,"Fresno County, CA",136,965974,"14.1",11.7
"3984",2015,6019,0.00958700778880271,0.102174566425367,0.0479093942623615,0.500385183118414,0.00200028516885997,NA,0.499614816881586,46949,0.776188605349891,0.157397823894894,0.0345218446527248,0.64640907780699,0.0430469729260569,"Fresno County, CA",152,974861,"15.6",10.3
"3985",2016,6019,0.0103845741722496,0.104083517447942,0.0486225846119306,0.500787313185327,0.00120724756739105,0.527865171979202,0.499212686814673,48715,0.776023430603675,0.146593326972237,0.0353591893174408,0.653749559910809,0.0418222365980173,"Fresno County, CA",152,979915,"15.5",9.5
"3986",2017,6019,0.00976189152443,0.103576934157523,0.0468504076299842,0.501454124568488,0.00163961769210163,NA,0.498545875431512,51800,0.786628321312503,0.139742533522701,0.0425067348661366,0.655921880607124,0.0428266500270459,"Fresno County, CA",136,989255,"13.7",8.6
"3987",2018,6019,0.0159835076427997,0.103785197103781,0.0457602574416734,0.501257039420756,0.00125905068382944,NA,0.498742960579244,52629,0.775308728881738,0.139936645213194,0.0458628318584071,0.647412510056315,0.0412531971961522,"Fresno County, CA",128,994400,"12.9",7.6
"3988",2019,6019,0.0136002266037167,0.104953353064405,0.0474336428449176,0.500341807284749,0.00195475732683683,NA,0.499658192715251,57518,0.785568225835026,0.152834398123913,0.0398568312913309,0.63936679074488,0.0417871499851128,"Fresno County, CA",154,999101,"15.4",7.4
"3989",2005,13121,0.00228147032109121,0.0412112492209407,0.42296333246237,0.509591337425728,9.38830127171893e-05,0.0749390043197497,0.490408662574272,52465,0.863704487947344,0.0363655284199715,0.0130203296311755,0.484064206931733,0.0541311992464063,"Fulton County, GA",102,818737,"12.5",6.2
"3990",2006,13121,0.00196352325863612,0.0420246060193186,0.424824142273666,0.506527542970951,0.000372913170605692,NA,0.493472457029049,54755,0.86697312212698,0.0399027509117102,0.0140738263912109,0.476838237974852,0.0530640558808199,"Fulton County, GA",96,845181,"11.4",5.4
"3991",2007,13121,0.00119439150036739,0.0409257995619557,0.426853347874336,0.506546978895052,0.00122563718518713,NA,0.493453021104948,58837,0.86759389076307,0.0337544109331675,0.011104313214808,0.484942099730178,0.0497681181581262,"Fulton County, GA",108,869329,"12.4",5.2
"3992",2008,13121,0.00110647806946672,0.0433664521366949,0.428026705237395,0.505633874978816,0.000133013837380238,0.0834706167506789,0.494366125021184,63819,0.859770900907647,0.029387190471874,0.0112776028344756,0.486702557412713,0.052019044507234,"Fulton County, GA",128,888694,"14.4",7
"3993",2009,13121,0.001296243987943,0.0435760469588568,0.431856260084585,0.507525953900147,0,0.086895747158904,0.492474046099853,56162,0.86351227949342,0.0331441848946947,0.0151563811963365,0.474970882877584,0.0485889375388564,"Fulton County, GA",87,905511,"9.6",10.6
"3994",2010,13121,0.0017048208966343,0.0577965594792469,0.440620084064189,0.512920037529813,0.00025372571925843,0.079154866621248,0.487079962470187,52831,0.85785205523231,0.0290964017374273,0.0193868043191675,0.451141603784076,0.0490994787169096,"Fulton County, GA",120,920581,"13.0",10.6
"3995",2011,13121,0.00227043204552659,0.0567934464968897,0.442474139083971,0.511213680722073,0.000914070044302911,0.0807625113337314,0.488786319277927,53697,0.862510385962917,0.0138405790233562,0.0158203620686205,0.467886971237333,0.0494847313817368,"Fulton County, GA",103,949599,"10.8",10.1
"3996",2012,13121,0.00334842545253346,0.0572955072394104,0.442229433621096,0.511533863176831,0.000315001539212067,0.0787473166062061,0.488466136823169,55369,0.857962942318923,0.0150832555204531,0.0246120520816181,0.457116324545677,0.0504734718939119,"Fulton County, GA",102,977773,"10.4",9
"3997",2013,13121,0.00232146322284117,0.0610671822313071,0.438468017145301,0.514115207565227,0.000306819209320802,0.0766692438125639,0.485884792434773,55914,0.855343886424063,0.0154395083577756,0.0251408879266641,0.45725612190679,0.0509843558240462,"Fulton County, GA",127,984293,"12.9",8
"3998",2014,13121,0.00219508008981059,0.0648527228728951,0.43985309925837,0.514651431920901,0.000560061586700645,0.0759284927819303,0.485348568079099,55807,0.869258741427194,0.0140296431163111,0.0186958193108834,0.459813573765029,0.0448235011145768,"Fulton County, GA",145,996319,"14.6",7.1
"3999",2015,13121,0.00430354594770039,0.0683095149035883,0.442159907061615,0.515850586109511,0.000475972775544697,0.0749681860192645,0.484149413890489,60291,0.86551938426341,0.0142198103629466,0.0174684977270073,0.453062751221598,0.0426680538851936,"Fulton County, GA",152,1010562,"15.0",6.1
"4000",2016,13121,0.00879574255181094,0.0667024320457797,0.436989415011296,0.51626836151567,0.000858955416402824,0.0731460634630268,0.48373163848433,63510,0.854967478912107,0.0116755396077144,0.029833798478701,0.445144116888295,0.0457463824193746,"Fulton County, GA",178,1023336,"17.4",5.5
"4001",2017,13121,0.00174088722834045,0.0699456416845028,0.442276577336971,0.515961333675173,0.000248698175477208,0.0732363314426511,0.484038666324827,65037,0.853272877591526,0.0141834777991268,0.0246960168922714,0.446908700883311,0.0444454452981789,"Fulton County, GA",173,1041423,"16.6",4.9
"4002",2018,13121,0.00252067870726416,0.0749566237570397,0.435250839432671,0.51540594640201,0.000455188674753408,0.0726911554364574,0.48459405359799,70930,0.852718847667967,0.0190341239141655,0.0221175986607168,0.445664946853389,0.0442935496837012,"Fulton County, GA",181,1050114,"17.2",4.1
"4003",2019,13121,0.00194372411148404,0.0721715665495231,0.444222731233146,0.51604183330404,0.000632556250981026,0.0721593477809306,0.48395816669596,80013,0.855929439431094,0.0162114862064201,0.0235653050885532,0.441252630559892,0.0305575190335033,"Fulton County, GA",162,1063937,"15.2",3.6
